Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
23601185,07/12/2012 12:53:45 PM,07/13/2012 09:25:04 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11217,44 FOURTH AVENUE,FOURTH AVENUE,PACIFIC STREET,DEAN STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,08/11/2012 12:53:45 PM,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,07/13/2012 09:24:26 AM,02 BROOKLYN,BROOKLYN,990069,188256,Unspecified,BROOKLYN,,,,,,,,40.68339408749845,-73.97901928151643,"(40.68339408749845, -73.97901928151643)"
23602733,07/12/2012 08:32:34 AM,08/01/2012 04:37:15 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10470,4385 VIREO AVENUE,VIREO AVENUE,EAST 239 STREET,EAST 240 STREET,,,ADDRESS,BRONX,,N/A,Closed,08/11/2012 08:32:34 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,08/01/2012 04:36:53 PM,12 BRONX,BRONX,1022197,267682,Unspecified,BRONX,,,,,,,,40.901317206845796,-73.86273139185647,"(40.901317206845796, -73.86273139185647)"
23606523,07/12/2012 06:28:08 PM,09/04/2012 11:54:01 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10310,608 CARY AVENUE,CARY AVENUE,ROE STREET,TAYLOR STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,08/12/2012 10:12:22 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,09/04/2012 11:53:12 AM,01 STATEN ISLAND,STATEN ISLAND,950379,169571,Unspecified,STATEN ISLAND,,,,,,,,40.63204502265725,-74.12202979009135,"(40.63204502265725, -74.12202979009135)"
23620834,07/15/2012 08:20:51 AM,08/06/2012 12:48:30 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11374,64-06 FITCHETT STREET,FITCHETT STREET,64 ROAD,65 AVENUE,,,ADDRESS,REGO PARK,,N/A,Closed,08/14/2012 08:20:51 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,08/06/2012 12:47:48 PM,06 QUEENS,QUEENS,1021590,202196,Unspecified,QUEENS,,,,,,,,40.721579224767254,-73.8652914258424,"(40.721579224767254, -73.8652914258424)"
23651550,07/20/2012 06:41:12 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11419,95-67 112 STREET,112 STREET,95 AVENUE,101 AVENUE,,,ADDRESS,SOUTH RICHMOND HILL,,N/A,Assigned,08/19/2012 06:41:12 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/24/2012 04:15:00 PM,09 QUEENS,QUEENS,1030591,190862,Unspecified,QUEENS,,,,,,,,40.69042755245501,-73.8328972993086,"(40.69042755245501, -73.8328972993086)"
23653645,07/20/2012 12:48:13 PM,09/05/2012 04:12:00 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,10456,364 EAST 170 STREET,EAST 170 STREET,TELLER AVENUE,CLAY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/19/2012 12:48:13 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,09/05/2012 04:11:15 PM,04 BRONX,BRONX,1009448,244231,Unspecified,BRONX,,,,,,,,40.83699702947689,-73.908937477552,"(40.83699702947689, -73.908937477552)"
23671363,07/23/2012 12:18:11 PM,09/14/2012 02:02:14 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11377,65-10 48 AVENUE,48 AVENUE,65 STREET,65 PLACE,,,ADDRESS,WOODSIDE,,N/A,Closed,08/22/2012 12:18:11 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,09/14/2012 02:01:20 PM,02 QUEENS,QUEENS,1011842,208328,Unspecified,QUEENS,,,,,,,,40.738445828757484,-73.90043333659001,"(40.738445828757484, -73.90043333659001)"
23672126,07/24/2012 06:39:37 AM,09/28/2012 04:09:37 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10456,1338 FULTON AVENUE,FULTON AVENUE,EAST 169 STREET,EAST 170 STREET,,,ADDRESS,BRONX,,N/A,Closed,08/23/2012 06:39:37 AM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,09/28/2012 04:08:58 PM,03 BRONX,BRONX,1011161,242862,Unspecified,BRONX,,,,,,,,40.83323446842557,-73.90275240023112,"(40.83323446842557, -73.90275240023112)"
23673049,07/24/2012 05:53:02 PM,09/14/2012 10:47:58 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11354,35-14 146 STREET,146 STREET,35 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,FLUSHING,,N/A,Closed,08/23/2012 05:53:02 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,09/14/2012 10:47:30 AM,07 QUEENS,QUEENS,1033875,218353,Unspecified,QUEENS,,,,,,,,40.76586567481933,-73.82085270131401,"(40.76586567481933, -73.82085270131401)"
23689188,07/26/2012 09:34:10 AM,08/10/2012 11:04:52 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11206,41 WHIPPLE STREET,WHIPPLE STREET,THROOP AVENUE,BROADWAY,,,ADDRESS,BROOKLYN,,N/A,Closed,08/25/2012 09:34:10 AM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,08/10/2012 11:04:28 AM,01 BROOKLYN,BROOKLYN,999544,194752,Unspecified,BROOKLYN,,,,,,,,40.701212803196846,-73.94484191586928,"(40.701212803196846, -73.94484191586928)"
23697469,07/27/2012 08:33:17 PM,09/06/2012 11:04:03 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11215,251 20 STREET,20 STREET,5 AVENUE,6 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/26/2012 08:33:17 PM,"The Office of Veterinary Public Health Services tried to investigate the complaint twice but was not able to gain access.  In order to increase the likelihood of an inspection, please provide additional access information and submit a new Service Request.",09/06/2012 11:03:20 AM,07 BROOKLYN,BROOKLYN,986347,180345,Unspecified,BROOKLYN,,,,,,,,40.661681831603616,-73.9924416143961,"(40.661681831603616, -73.9924416143961)"
23703472,07/29/2012 10:28:46 PM,10/15/2012 04:14:36 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10455,674 EAST 149 STREET,EAST 149 STREET,CAULDWELL AVENUE,TRINITY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,08/28/2012 10:28:46 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,10/15/2012 03:08:03 PM,01 BRONX,BRONX,1009130,235650,Unspecified,BRONX,,,,,,,,40.81344553828488,-73.91011850960015,"(40.81344553828488, -73.91011850960015)"
23723984,08/01/2012 06:03:32 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11216,347 HALSEY STREET,HALSEY STREET,THROOP AVENUE,MARCUS GARVEY BOULEVARD,,,ADDRESS,BROOKLYN,,N/A,Assigned,08/31/2012 06:03:32 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/02/2012 04:05:30 PM,03 BROOKLYN,BROOKLYN,1001178,188142,Unspecified,BROOKLYN,,,,,,,,40.68306690918259,-73.93896547769589,"(40.68306690918259, -73.93896547769589)"
23767396,08/08/2012 10:45:18 AM,09/14/2012 11:51:45 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,11235,2816 BRIGHAM STREET,BRIGHAM STREET,SHORE PARKWAY,EMMONS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,09/07/2012 10:45:18 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,09/14/2012 11:50:58 AM,15 BROOKLYN,BROOKLYN,1003080,152422,Unspecified,BROOKLYN,,,,,,,,40.585019290513486,-73.93220742179753,"(40.585019290513486, -73.93220742179753)"
23774870,08/09/2012 11:53:42 AM,10/25/2012 11:02:27 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10032,,,,,WEST  172 STREET,AMSTERDAM AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,09/08/2012 11:53:42 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,10/25/2012 11:02:02 AM,12 MANHATTAN,MANHATTAN,1002196,246161,Unspecified,MANHATTAN,,,,,,,,40.842312030880514,-73.93514015201721,"(40.842312030880514, -73.93514015201721)"
23787155,08/11/2012 07:20:01 AM,08/21/2012 03:38:01 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10455,674 EAST 149 STREET,EAST 149 STREET,CAULDWELL AVENUE,TRINITY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,09/10/2012 07:20:01 AM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,08/21/2012 03:37:04 PM,01 BRONX,BRONX,1009130,235650,Unspecified,BRONX,,,,,,,,40.81344553828488,-73.91011850960015,"(40.81344553828488, -73.91011850960015)"
23817815,08/16/2012 05:38:17 PM,11/13/2012 11:07:23 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Iguana,Residence,11237,854 WYCKOFF AVENUE,WYCKOFF AVENUE,CORNELIA STREET,JEFFERSON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,09/15/2012 05:38:17 PM,"The Office of Veterinary Public Health Services tried to investigate the complaint twice but was not able to gain access.  In order to increase the likelihood of an inspection, please provide additional access information and submit a new Service Request.",11/13/2012 11:06:50 AM,04 BROOKLYN,BROOKLYN,1009786,193499,Unspecified,BROOKLYN,,,,,,,,40.69774998410444,-73.90790873252406,"(40.69774998410444, -73.90790873252406)"
23828485,08/19/2012 01:17:32 AM,10/19/2012 12:29:17 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Iguana,Residence,11214,2571 WEST 17 STREET,WEST 17 STREET,BAY 50 STREET,AVENUE Z,,,ADDRESS,BROOKLYN,,N/A,Closed,09/18/2012 01:17:32 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,10/19/2012 12:29:04 PM,13 BROOKLYN,BROOKLYN,988148,152459,Unspecified,BROOKLYN,,,,,,,,40.585139990789486,-73.98596622824302,"(40.585139990789486, -73.98596622824302)"
23876270,08/27/2012 03:01:52 PM,11/26/2012 04:14:23 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10461,1650 MAYFLOWER AVENUE,MAYFLOWER AVENUE,MIDDLETOWN ROAD,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,N/A,Closed,09/26/2012 03:01:52 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,11/26/2012 04:14:12 PM,10 BRONX,BRONX,1030006,246959,Unspecified,BRONX,,,,,,,,40.84440199491222,-73.83462487823286,"(40.84440199491222, -73.83462487823286)"
23880417,08/27/2012 12:29:40 PM,11/21/2012 11:16:31 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10009,620 EAST 13 STREET,EAST 13 STREET,AVENUE B,DEAD END,,,ADDRESS,NEW YORK,,N/A,Closed,09/26/2012 12:29:40 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,11/21/2012 11:16:01 AM,03 MANHATTAN,MANHATTAN,990385,204674,Unspecified,MANHATTAN,,,,,,,,40.72845741060336,-73.97786496822046,"(40.72845741060336, -73.97786496822046)"
23882963,08/28/2012 12:11:30 PM,08/28/2012 01:54:21 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10452,1300 CROMWELL AVENUE,CROMWELL AVENUE,WEST 169 STREET,WEST 170 STREET,,,ADDRESS,BRONX,,N/A,Closed,09/27/2012 12:11:30 PM,The Office of Veterinary Public Health Services has contacted the customer and provided status of the Service Request.  No further investigation is needed.,08/28/2012 01:53:38 PM,04 BRONX,BRONX,1006138,244850,Unspecified,BRONX,,,,,,,,40.83870482826849,-73.92089738990806,"(40.83870482826849, -73.92089738990806)"
23897057,08/30/2012 09:20:51 AM,10/25/2012 02:51:38 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10469,1013 EAST 212 STREET,EAST 212 STREET,PAULDING AVENUE,LACONIA AVENUE,,,ADDRESS,BRONX,,N/A,Closed,09/29/2012 09:20:51 AM,"The Office of Veterinary Public Health Services tried to investigate the complaint twice but was not able to gain access.  In order to increase the likelihood of an inspection, please provide additional access information and submit a new Service Request.",10/25/2012 02:51:12 PM,12 BRONX,BRONX,1023900,258472,Unspecified,BRONX,,,,,,,,40.87603120266498,-73.85662553932349,"(40.87603120266498, -73.85662553932349)"
23935757,09/06/2012 09:18:07 AM,10/25/2012 02:28:12 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11368,107-02 34 AVENUE,34 AVENUE,107 STREET,108 STREET,,,ADDRESS,CORONA,,N/A,Closed,10/06/2012 09:18:07 AM,"The Office of Veterinary Public Health Services has investigated the Service Request and  there were  Violation(s) of Rules and Regulations.  A Notice Of Violation was not issued, but a Reinspection is required.  The Agency will continue to moniter the situation.",10/25/2012 02:27:41 PM,03 QUEENS,QUEENS,1022631,214810,Unspecified,QUEENS,,,,,,,,40.7561970275154,-73.86146392931914,"(40.7561970275154, -73.86146392931914)"
23987869,09/09/2012 09:45:29 AM,11/28/2012 11:19:46 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11204,2034 68 STREET,68 STREET,20 AVENUE,21 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,10/09/2012 09:45:29 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,11/28/2012 11:18:52 AM,11 BROOKLYN,BROOKLYN,987916,163072,Unspecified,BROOKLYN,,,,,,,,40.61427062452095,-73.98679572643287,"(40.61427062452095, -73.98679572643287)"
23991271,09/10/2012 03:33:50 PM,09/17/2012 10:33:49 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10466,685 EAST 231 STREET,EAST 231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,,,ADDRESS,BRONX,,N/A,Closed,10/10/2012 03:33:50 PM,The Office of Veterinary Public Health Services has investigated the Service Request and determined that it is not within its jurisdiction. The Service Request has been referred to another agency or organization.,09/17/2012 10:33:47 AM,12 BRONX,BRONX,1023260,264399,Unspecified,BRONX,,,,,,,,40.892301795222856,-73.85890525524813,"(40.892301795222856, -73.85890525524813)"
24033179,09/16/2012 08:12:32 PM,09/19/2012 03:41:52 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,10314,1281 TRAVIS AVENUE,TRAVIS AVENUE,VICTORY BOULEVARD,SOUTH AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,10/16/2012 08:12:32 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,09/19/2012 03:41:42 PM,02 STATEN ISLAND,STATEN ISLAND,934234,158171,Unspecified,STATEN ISLAND,,,,,,,,40.600678003739176,-74.18011210031324,"(40.600678003739176, -74.18011210031324)"
24035914,09/17/2012 04:17:59 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11361,38-24 212 STREET,212 STREET,38 AVENUE,39 AVENUE,,,ADDRESS,BAYSIDE,,N/A,Assigned,10/17/2012 04:17:59 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/20/2012 05:06:21 PM,11 QUEENS,QUEENS,1046835,218299,Unspecified,QUEENS,,,,,,,,40.76563521100354,-73.77406751624363,"(40.76563521100354, -73.77406751624363)"
24049052,09/19/2012 07:32:51 PM,10/25/2012 11:20:51 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11229,53 HAZEL COURT,HAZEL COURT,DEVON AVENUE,DEAD END,,,ADDRESS,BROOKLYN,,N/A,Closed,10/19/2012 07:32:51 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,10/25/2012 11:20:15 AM,15 BROOKLYN,BROOKLYN,1003741,155078,Unspecified,BROOKLYN,,,,,,,,40.592308049188254,-73.92982000113442,"(40.592308049188254, -73.92982000113442)"
24057123,09/20/2012 03:45:31 PM,11/28/2012 02:37:53 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11417,107-32 106 STREET,106 STREET,107 AVENUE,109 AVENUE,,,ADDRESS,OZONE PARK,,N/A,Closed,10/20/2012 03:45:31 PM,"The Office of Veterinary Public Health Services tried to investigate the complaint twice but was not able to gain access.  In order to increase the likelihood of an inspection, please provide additional access information and submit a new Service Request.",11/28/2012 02:37:41 PM,10 QUEENS,QUEENS,1030188,187356,Unspecified,QUEENS,,,,,,,,40.680806502397616,-73.83437439199535,"(40.680806502397616, -73.83437439199535)"
24071062,09/22/2012 02:02:31 PM,09/24/2012 09:30:07 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10310,182 DUBOIS AVENUE,DUBOIS AVENUE,DELAFIELD AVENUE,FOREST AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,10/22/2012 02:02:31 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,09/24/2012 09:29:34 AM,01 STATEN ISLAND,STATEN ISLAND,948602,167870,Unspecified,STATEN ISLAND,,,,,,,,40.62736916858877,-74.12842293820874,"(40.62736916858877, -74.12842293820874)"
24071079,09/22/2012 02:08:41 PM,09/24/2012 09:30:05 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10310,182 DUBOIS AVENUE,DUBOIS AVENUE,DELAFIELD AVENUE,FOREST AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,10/22/2012 02:08:41 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,09/24/2012 09:29:04 AM,01 STATEN ISLAND,STATEN ISLAND,948602,167870,Unspecified,STATEN ISLAND,,,,,,,,40.62736916858877,-74.12842293820874,"(40.62736916858877, -74.12842293820874)"
24073134,09/22/2012 01:57:20 PM,11/20/2012 12:07:07 PM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10310,182 DUBOIS AVENUE,DUBOIS AVENUE,DELAFIELD AVENUE,FOREST AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,10/22/2012 01:57:20 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,11/20/2012 11:38:53 AM,01 STATEN ISLAND,STATEN ISLAND,948602,167870,Unspecified,STATEN ISLAND,,,,,,,,40.62736916858877,-74.12842293820874,"(40.62736916858877, -74.12842293820874)"
24084581,09/25/2012 10:40:44 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10314,2402 VICTORY BOULEVARD,VICTORY BOULEVARD,CRYSTAL AVENUE,COLLFIELD AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,10/25/2012 10:40:44 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",09/25/2012 04:56:37 PM,01 STATEN ISLAND,STATEN ISLAND,944458,161867,Unspecified,STATEN ISLAND,,,,,,,,40.610874558988584,-74.14331640943112,"(40.610874558988584, -74.14331640943112)"
24155546,10/07/2012 04:00:18 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11205,14 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,WASHINGTON PARK,CARLTON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,11/06/2012 04:00:18 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",10/09/2012 04:27:39 PM,02 BROOKLYN,BROOKLYN,991757,191276,Unspecified,BROOKLYN,,,,,,,,40.69168202380285,-73.9729297418105,"(40.69168202380285, -73.9729297418105)"
24176275,10/10/2012 07:35:39 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10314,134 SOMMER AVENUE,SOMMER AVENUE,ARLENE STREET,SPEEDWELL AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,11/09/2012 07:35:39 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",10/10/2012 03:49:03 PM,02 STATEN ISLAND,STATEN ISLAND,937845,160787,Unspecified,STATEN ISLAND,,,,,,,,40.607878021240545,-74.16712657157584,"(40.607878021240545, -74.16712657157584)"
24180822,10/11/2012 02:27:08 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10467,3230 CRUGER AVENUE,CRUGER AVENUE,BURKE AVENUE,SOUTH OAK DRIVE,,,ADDRESS,BRONX,,N/A,Pending,11/10/2012 02:27:08 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/01/2015 04:01:02 PM,12 BRONX,BRONX,1021274,257092,Unspecified,BRONX,,,,,,,,40.87225493792927,-73.8661287701622,"(40.87225493792927, -73.8661287701622)"
24183627,10/11/2012 06:50:33 PM,10/15/2012 09:19:35 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10310,186 DUBOIS AVENUE,DUBOIS AVENUE,DELAFIELD AVENUE,FOREST AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,11/10/2012 06:50:33 PM,The Office of Veterinary Public Health Services has contacted the customer and provided status of the Service Request.  No further investigation is needed.,10/15/2012 09:18:54 AM,01 STATEN ISLAND,STATEN ISLAND,948607,167838,Unspecified,STATEN ISLAND,,,,,,,,40.62728135553085,-74.12840475660686,"(40.62728135553085, -74.12840475660686)"
24184519,10/11/2012 07:54:40 AM,10/11/2012 08:39:49 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10314,134 SOMMER AVENUE,SOMMER AVENUE,ARLENE STREET,SPEEDWELL AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,11/10/2012 07:54:40 AM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,10/11/2012 08:39:29 AM,02 STATEN ISLAND,STATEN ISLAND,937845,160787,Unspecified,STATEN ISLAND,,,,,,,,40.607878021240545,-74.16712657157584,"(40.607878021240545, -74.16712657157584)"
24201114,10/14/2012 10:51:29 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10305,23 XENIA STREET,XENIA STREET,HURLBERT STREET,MASON AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,11/13/2012 10:51:29 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",10/16/2012 03:59:47 PM,02 STATEN ISLAND,STATEN ISLAND,960910,154947,Unspecified,STATEN ISLAND,,,,,,,,40.59193918078223,-74.08403838701841,"(40.59193918078223, -74.08403838701841)"
24202881,10/15/2012 09:51:44 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11233,2070 DEAN STREET,DEAN STREET,HOWARD AVENUE,SARATOGA AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,11/14/2012 09:51:44 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/01/2015 04:01:04 PM,16 BROOKLYN,BROOKLYN,1006781,185270,Unspecified,BROOKLYN,,,,,,,,40.67517143423132,-73.91877326870947,"(40.67517143423132, -73.91877326870947)"
24228607,10/19/2012 03:05:58 PM,10/22/2012 09:52:14 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10457,2165 ARTHUR AVENUE,ARTHUR AVENUE,OAK TREE PLACE,BEND,,,ADDRESS,BRONX,,N/A,Closed,11/18/2012 03:05:58 PM,The Office of Veterinary Public Health Services has contacted the customer and provided status of the Service Request.  No further investigation is needed.,10/22/2012 09:51:27 AM,06 BRONX,BRONX,1014570,249485,Unspecified,BRONX,,,,,,,,40.8514016082275,-73.89040345130024,"(40.8514016082275, -73.89040345130024)"
24231715,10/19/2012 05:28:03 AM,12/10/2012 11:37:09 AM,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Ferret,Residence,10461,1960 WILLIAMSBRIDGE ROAD,WILLIAMSBRIDGE ROAD,RHINELANDER AVENUE,NEILL AVENUE,,,ADDRESS,BRONX,,N/A,Closed,11/18/2012 05:28:03 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,12/10/2012 11:36:26 AM,11 BRONX,BRONX,1024706,250223,Unspecified,BRONX,,,,,,,,40.8533865710487,-73.85376084440992,"(40.8533865710487, -73.85376084440992)"
24235095,10/20/2012 02:34:00 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11101,39-15 28 STREET,28 STREET,39 AVENUE,40 AVENUE,,,ADDRESS,LONG ISLAND CITY,,N/A,Assigned,11/19/2012 02:34:00 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",10/22/2012 04:01:12 PM,01 QUEENS,QUEENS,1002114,213845,Unspecified,QUEENS,,,,,,,,40.75361360545118,-73.93552248299989,"(40.75361360545118, -73.93552248299989)"
